publication,year_fy,published_date,effective_from,effective_to,zone_no,zone_name,nhh_tariff_floored_p_kwh
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,8,Midlands,0.0
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,9,Eastern,0.0
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,10,South Wales,0.334588
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,11,South East,0.520445
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,12,London,0.28636
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,13,Southern,0.842906
Forecast,2026,2022-04-07,2025-04-01,2026-04-01,14,South Western,1.455855
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,1,Northern Scotland,0.0
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,2,Southern Scotland,0.0
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,3,Northern,0.0
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,4,North West,0.0
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,5,Yorkshire,0.0
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,6,N Wales & Mersey,0.0
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,7,East Midlands,0.0
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,8,Midlands,0.0
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,9,Eastern,0.0
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,10,South Wales,0.311837
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,11,South East,0.474347
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,12,London,0.425331
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,13,Southern,0.829798
Forecast,2027,2022-04-07,2026-04-01,2027-04-01,14,South Western,1.437113
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,1,Northern Scotland,0.0
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,2,Southern Scotland,0.0
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,3,Northern,0.0
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,4,North West,0.0
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,5,Yorkshire,0.0
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,6,N Wales & Mersey,0.0
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,7,East Midlands,0.0
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,8,Midlands,0.0
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,9,Eastern,0.002313
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,10,South Wales,0.147658
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,11,South East,0.662957
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,12,London,0.600466
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,13,Southern,0.899784
Forecast,2028,2022-04-07,2027-04-01,2028-04-01,14,South Western,0.849648
Final,2023,2022-01-31,2022-04-01,2023-04-01,1,Northern Scotland,3.558626
Final,2023,2022-01-31,2022-04-01,2023-04-01,2,Southern Scotland,4.395158
Final,2023,2022-01-31,2022-04-01,2023-04-01,3,Northern,5.280945
Final,2023,2022-01-31,2022-04-01,2023-04-01,4,North West,6.382111
Final,2023,2022-01-31,2022-04-01,2023-04-01,5,Yorkshire,6.199445
Final,2023,2022-01-31,2022-04-01,2023-04-01,6,N Wales & Mersey,6.460609
Final,2023,2022-01-31,2022-04-01,2023-04-01,7,East Midlands,6.954272
Final,2023,2022-01-31,2022-04-01,2023-04-01,8,Midlands,7.145603
Final,2023,2022-01-31,2022-04-01,2023-04-01,9,Eastern,7.696135
Final,2023,2022-01-31,2022-04-01,2023-04-01,10,South Wales,6.630234
Final,2023,2022-01-31,2022-04-01,2023-04-01,11,South East,8.057826
Final,2023,2022-01-31,2022-04-01,2023-04-01,12,London,6.457749
Final,2023,2022-01-31,2022-04-01,2023-04-01,13,Southern,7.854326
Final,2023,2022-01-31,2022-04-01,2023-04-01,14,South Western,8.671244
Draft,2023,2021-11-30,2022-04-01,2023-04-01,1,Northern Scotland,3.754234
Draft,2023,2021-11-30,2022-04-01,2023-04-01,2,Southern Scotland,4.556094
Draft,2023,2021-11-30,2022-04-01,2023-04-01,3,Northern,5.426633
Draft,2023,2021-11-30,2022-04-01,2023-04-01,4,North West,6.558575
Draft,2023,2021-11-30,2022-04-01,2023-04-01,5,Yorkshire,6.348318
Draft,2023,2021-11-30,2022-04-01,2023-04-01,6,N Wales & Mersey,6.617061
Draft,2023,2021-11-30,2022-04-01,2023-04-01,7,East Midlands,7.10622
Draft,2023,2021-11-30,2022-04-01,2023-04-01,8,Midlands,7.325327
Draft,2023,2021-11-30,2022-04-01,2023-04-01,9,Eastern,7.846331
Draft,2023,2021-11-30,2022-04-01,2023-04-01,10,South Wales,6.847104
Draft,2023,2021-11-30,2022-04-01,2023-04-01,11,South East,8.243977
Draft,2023,2021-11-30,2022-04-01,2023-04-01,12,London,6.602228
Draft,2023,2021-11-30,2022-04-01,2023-04-01,13,Southern,8.031774
Draft,2023,2021-11-30,2022-04-01,2023-04-01,14,South Western,8.883631
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,1,Northern Scotland,3.016852
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,2,Southern Scotland,4.054787
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,3,Northern,5.075388
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,4,North West,6.06773
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,5,Yorkshire,5.900569
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,6,N Wales & Mersey,6.02857
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,7,East Midlands,6.617207
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,8,Midlands,6.906122
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,9,Eastern,7.463089
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,10,South Wales,6.343088
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,11,South East,7.822213
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,12,London,6.345094
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,13,Southern,7.578782
Forecast,2023,2021-08-31,2022-04-01,2023-04-01,14,South Western,8.35649
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,1,Northern Scotland,3.022811
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,2,Southern Scotland,4.012326
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,3,Northern,5.135737
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,4,North West,6.042024
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,5,Yorkshire,5.902938
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,6,N Wales & Mersey,5.982738
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,7,East Midlands,6.57082
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,8,Midlands,6.896029
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,9,Eastern,7.406702
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,10,South Wales,6.264584
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,11,South East,7.766608
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,12,London,6.256171
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,13,Southern,7.523025
Forecast,2023,2021-04-30,2022-04-01,2023-04-01,14,South Western,8.44426
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,1,Northern Scotland,0.0
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,2,Southern Scotland,0.0
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,3,Northern,0.0
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,4,North West,0.0
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,5,Yorkshire,0.0
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,6,N Wales & Mersey,0.0
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,7,East Midlands,0.0
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,8,Midlands,0.152274
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,9,Eastern,0.0
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,10,South Wales,0.480909
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,11,South East,0.322148
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,12,London,0.490426
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,13,Southern,0.634257
Forecast,2024,2021-04-30,2023-04-01,2024-04-01,14,South Western,1.335608
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,1,Northern Scotland,0.0
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,2,Southern Scotland,0.0
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,3,Northern,0.0
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,4,North West,0.0
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,5,Yorkshire,0.0
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,6,N Wales & Mersey,0.0
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,7,East Midlands,0.0
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,8,Midlands,0.199008
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,9,Eastern,0.0
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,10,South Wales,0.347672
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,11,South East,0.182401
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,12,London,0.376802
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,13,Southern,0.579943
Forecast,2025,2021-04-30,2024-04-01,2025-04-01,14,South Western,1.35809
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,1,Northern Scotland,0.0
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,2,Southern Scotland,0.0
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,3,Northern,0.0
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,4,North West,0.0
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,5,Yorkshire,0.0
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,6,N Wales & Mersey,0.0
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,7,East Midlands,0.0
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,8,Midlands,0.168479
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,9,Eastern,0.0
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,10,South Wales,0.350043
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,11,South East,0.192642
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,12,London,0.388562
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,13,Southern,0.591774
Forecast,2026,2021-04-30,2025-04-01,2026-04-01,14,South Western,1.358419
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,1,Northern Scotland,0.0
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,2,Southern Scotland,0.0
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,3,Northern,0.0
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,4,North West,0.0
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,5,Yorkshire,0.0
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,6,N Wales & Mersey,0.0
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,7,East Midlands,0.0
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,8,Midlands,0.098127
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,9,Eastern,0.0
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,10,South Wales,0.935237
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,11,South East,0.156505
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,12,London,0.372622
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,13,Southern,0.610218
Forecast,2027,2021-04-30,2026-04-01,2027-04-01,14,South Western,1.591817
Final,2021,2020-01-31,2020-04-01,2021-04-01,1,Northern Scotland,2.742642
Final,2021,2020-01-31,2020-04-01,2021-04-01,2,Southern Scotland,3.528995
Final,2021,2020-01-31,2020-04-01,2021-04-01,3,Northern,4.768367
Final,2021,2020-01-31,2020-04-01,2021-04-01,4,North West,5.735191
Final,2021,2020-01-31,2020-04-01,2021-04-01,5,Yorkshire,5.645414
Final,2021,2020-01-31,2020-04-01,2021-04-01,6,N Wales & Mersey,5.811644
Final,2021,2020-01-31,2020-04-01,2021-04-01,7,East Midlands,6.281123
Final,2021,2020-01-31,2020-04-01,2021-04-01,8,Midlands,6.525494
Final,2021,2020-01-31,2020-04-01,2021-04-01,9,Eastern,6.99422
Final,2021,2020-01-31,2020-04-01,2021-04-01,10,South Wales,5.594905
Final,2021,2020-01-31,2020-04-01,2021-04-01,11,South East,7.511337
Final,2021,2020-01-31,2020-04-01,2021-04-01,12,London,5.828242
Final,2021,2020-01-31,2020-04-01,2021-04-01,13,Southern,7.136303
Final,2021,2020-01-31,2020-04-01,2021-04-01,14,South Western,7.608806
Draft,2022,2020-11-30,2021-04-01,2022-04-01,1,Northern Scotland,2.731383
Draft,2022,2020-11-30,2021-04-01,2022-04-01,2,Southern Scotland,3.774643
Draft,2022,2020-11-30,2021-04-01,2022-04-01,3,Northern,5.16877
Draft,2022,2020-11-30,2021-04-01,2022-04-01,4,North West,6.135768
Draft,2022,2020-11-30,2021-04-01,2022-04-01,5,Yorkshire,6.035617
Draft,2022,2020-11-30,2021-04-01,2022-04-01,6,N Wales & Mersey,6.122775
Draft,2022,2020-11-30,2021-04-01,2022-04-01,7,East Midlands,6.711876
Draft,2022,2020-11-30,2021-04-01,2022-04-01,8,Midlands,7.022124
Draft,2022,2020-11-30,2021-04-01,2022-04-01,9,Eastern,7.388941
Draft,2022,2020-11-30,2021-04-01,2022-04-01,10,South Wales,6.570524
Draft,2022,2020-11-30,2021-04-01,2022-04-01,11,South East,7.861029
Draft,2022,2020-11-30,2021-04-01,2022-04-01,12,London,6.340861
Draft,2022,2020-11-30,2021-04-01,2022-04-01,13,Southern,7.653066
Draft,2022,2020-11-30,2021-04-01,2022-04-01,14,South Western,8.596217
Final,2022,2021-01-31,2021-04-01,2022-04-01,1,Northern Scotland,2.731383
Final,2022,2021-01-31,2021-04-01,2022-04-01,2,Southern Scotland,3.774643
Final,2022,2021-01-31,2021-04-01,2022-04-01,3,Northern,5.16877
Final,2022,2021-01-31,2021-04-01,2022-04-01,4,North West,6.135768
Final,2022,2021-01-31,2021-04-01,2022-04-01,5,Yorkshire,6.035617
Final,2022,2021-01-31,2021-04-01,2022-04-01,6,N Wales & Mersey,6.122775
Final,2022,2021-01-31,2021-04-01,2022-04-01,7,East Midlands,6.711876
Final,2022,2021-01-31,2021-04-01,2022-04-01,8,Midlands,7.022124
Final,2022,2021-01-31,2021-04-01,2022-04-01,9,Eastern,7.388941
Final,2022,2021-01-31,2021-04-01,2022-04-01,10,South Wales,6.570524
Final,2022,2021-01-31,2021-04-01,2022-04-01,11,South East,7.861029
Final,2022,2021-01-31,2021-04-01,2022-04-01,12,London,6.340861
Final,2022,2021-01-31,2021-04-01,2022-04-01,13,Southern,7.653066
Final,2022,2021-01-31,2021-04-01,2022-04-01,14,South Western,8.596217
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,1,Northern Scotland,0.0
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,2,Southern Scotland,0.0
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,3,Northern,0.0
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,4,North West,0.0
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,5,Yorkshire,0.0
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,6,N Wales & Mersey,0.0
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,7,East Midlands,0.0
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,8,Midlands,0.083836
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,9,Eastern,0.207804
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,10,South Wales,0.0
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,11,South East,0.658112
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,12,London,0.726469
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,13,Southern,0.815947
Forecast,2023,2020-08-31,2022-04-01,2023-04-01,14,South Western,0.77074
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,1,Northern Scotland,0.0
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,2,Southern Scotland,0.0
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,3,Northern,0.0
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,4,North West,0.0
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,5,Yorkshire,0.0
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,6,N Wales & Mersey,0.0
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,7,East Midlands,0.0
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,8,Midlands,0.055837
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,9,Eastern,0.217531
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,10,South Wales,0.0
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,11,South East,0.627588
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,12,London,0.751695
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,13,Southern,0.798417
Forecast,2024,2020-08-31,2023-04-01,2024-04-01,14,South Western,0.726852
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,1,Northern Scotland,0.0
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,2,Southern Scotland,0.0
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,3,Northern,0.0
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,4,North West,0.0
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,5,Yorkshire,0.0
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,6,N Wales & Mersey,0.0
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,7,East Midlands,0.0
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,8,Midlands,0.084459
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,9,Eastern,0.102495
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,10,South Wales,0.0
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,11,South East,0.654999
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,12,London,0.631334
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,13,Southern,0.850915
Forecast,2025,2020-08-31,2024-04-01,2025-04-01,14,South Western,0.942932
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,1,Northern Scotland,0.0
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,2,Southern Scotland,0.0
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,3,Northern,0.0
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,4,North West,0.0
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,5,Yorkshire,0.0
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,6,N Wales & Mersey,0.0
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,7,East Midlands,0.0
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,8,Midlands,0.0
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,9,Eastern,0.142358
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,10,South Wales,0.038944
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,11,South East,0.692279
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,12,London,0.784324
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,13,Southern,0.859251
Forecast,2026,2020-08-31,2025-04-01,2026-04-01,14,South Western,1.013372
