publication,year_fy,published_date,effective_from,effective_to,zone_no,zone_name,nhh_tariff_floored_p_kwh
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,9,Eastern,0.641888
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,10,South Wales,0.679325
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,11,South East,1.546169
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,12,London,1.239945
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,13,Southern,1.70121
Forecast,2030,2025-09-12,2029-04-01,2030-04-01,14,South Western,2.083153
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,1,Northern Scotland,0.0
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,2,Southern Scotland,0.0
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,3,Northern,0.0
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,4,North West,0.0
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,5,Yorkshire,0.0
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,6,N Wales & Mersey,0.0
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,7,East Midlands,0.374783
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,8,Midlands,0.756947
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,9,Eastern,0.712916
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,10,South Wales,0.887639
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,11,South East,1.467302
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,12,London,1.277398
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,13,Southern,1.627947
Forecast,2031,2025-09-12,2030-04-01,2031-04-01,14,South Western,1.30566
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,1,Northern Scotland,0.0
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,2,Southern Scotland,0.0
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,3,Northern,0.0
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,4,North West,0.0
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,5,Yorkshire,0.0
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,6,N Wales & Mersey,0.0
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,7,East Midlands,0.0
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,8,Midlands,0.421146
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,9,Eastern,0.091692
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,10,South Wales,0.975986
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,11,South East,0.811494
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,12,London,0.754048
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,13,Southern,1.138618
Forecast,2027,2025-04-30,2026-04-01,2027-04-01,14,South Western,2.257036
Final,2026,2025-01-31,2025-04-01,2026-04-01,1,Northern Scotland,0.0
Final,2026,2025-01-31,2025-04-01,2026-04-01,2,Southern Scotland,0.0
Final,2026,2025-01-31,2025-04-01,2026-04-01,3,Northern,0.0
Final,2026,2025-01-31,2025-04-01,2026-04-01,4,North West,0.0
Final,2026,2025-01-31,2025-04-01,2026-04-01,5,Yorkshire,0.0
Final,2026,2025-01-31,2025-04-01,2026-04-01,6,N Wales & Mersey,0.0
Final,2026,2025-01-31,2025-04-01,2026-04-01,7,East Midlands,0.0
Final,2026,2025-01-31,2025-04-01,2026-04-01,8,Midlands,0.386732
Final,2026,2025-01-31,2025-04-01,2026-04-01,9,Eastern,0.152494
Final,2026,2025-01-31,2025-04-01,2026-04-01,10,South Wales,0.807732
Final,2026,2025-01-31,2025-04-01,2026-04-01,11,South East,0.774324
Final,2026,2025-01-31,2025-04-01,2026-04-01,12,London,0.813457
Final,2026,2025-01-31,2025-04-01,2026-04-01,13,Southern,0.986192
Final,2026,2025-01-31,2025-04-01,2026-04-01,14,South Western,1.377268
Draft,2026,2024-11-29,2025-04-01,2026-04-01,1,Northern Scotland,0.0
Draft,2026,2024-11-29,2025-04-01,2026-04-01,2,Southern Scotland,0.0
Draft,2026,2024-11-29,2025-04-01,2026-04-01,3,Northern,0.0
Draft,2026,2024-11-29,2025-04-01,2026-04-01,4,North West,0.0
Draft,2026,2024-11-29,2025-04-01,2026-04-01,5,Yorkshire,0.0
Draft,2026,2024-11-29,2025-04-01,2026-04-01,6,N Wales & Mersey,0.0
Draft,2026,2024-11-29,2025-04-01,2026-04-01,7,East Midlands,0.0
Draft,2026,2024-11-29,2025-04-01,2026-04-01,8,Midlands,0.292904
Draft,2026,2024-11-29,2025-04-01,2026-04-01,9,Eastern,0.211744
Draft,2026,2024-11-29,2025-04-01,2026-04-01,10,South Wales,0.459966
Draft,2026,2024-11-29,2025-04-01,2026-04-01,11,South East,0.699604
Draft,2026,2024-11-29,2025-04-01,2026-04-01,12,London,0.797542
Draft,2026,2024-11-29,2025-04-01,2026-04-01,13,Southern,1.12976
Draft,2026,2024-11-29,2025-04-01,2026-04-01,14,South Western,1.36892
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,1,Northern Scotland,0.0
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,2,Southern Scotland,0.0
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,3,Northern,0.0
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,4,North West,0.0
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,5,Yorkshire,0.0
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,6,N Wales & Mersey,0.0
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,7,East Midlands,0.00987
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,8,Midlands,0.33362
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,9,Eastern,0.180633
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,10,South Wales,0.822447
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,11,South East,0.605997
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,12,London,0.798303
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,13,Southern,0.815929
Forecast,2026,2024-07-31,2025-04-01,2026-04-01,14,South Western,0.562408
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,1,Northern Scotland,0.0
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,2,Southern Scotland,0.0
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,3,Northern,0.0
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,4,North West,0.0
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,5,Yorkshire,0.0
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,6,N Wales & Mersey,0.0
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,7,East Midlands,0.0
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,8,Midlands,0.254205
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,9,Eastern,0.189042
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,10,South Wales,0.388739
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,11,South East,0.72107
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,12,London,0.797668
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,13,Southern,1.022639
Forecast,2026,2024-06-20,2025-04-01,2026-04-01,14,South Western,1.614174
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,1,Northern Scotland,0.0
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,2,Southern Scotland,0.0
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,3,Northern,0.0
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,4,North West,0.0
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,5,Yorkshire,0.0
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,6,N Wales & Mersey,0.0
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,7,East Midlands,0.0
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,8,Midlands,0.131894
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,9,Eastern,0.327012
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,10,South Wales,0.236645
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,11,South East,0.847467
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,12,London,0.940436
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,13,Southern,1.092552
Forecast,2027,2024-06-20,2026-04-01,2027-04-01,14,South Western,1.631983
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,1,Northern Scotland,0.0
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,2,Southern Scotland,0.0
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,3,Northern,0.0
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,4,North West,0.0
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,5,Yorkshire,0.0
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,6,N Wales & Mersey,0.0
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,7,East Midlands,0.008937
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,8,Midlands,0.231126
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,9,Eastern,0.410374
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,10,South Wales,0.194865
Forecast,2028,2024-06-20,2027-04-01,2028-04-01,11,South East,0.779106
